,c1,c2,c3,c4,c5
1700,72,15,57,16.0,2.0
1701,72,4,45,13.0,27.0
1702,33,53,1,63.0,4.0
1703,2,4,32,31.0,41.0
1704,2,16,13,52.0,68.0
1705,30,33,62,46.0,55.0
1706,68,2,8,5.0,28.0
1707,46,8,41,33.0,3.0
1708,2,17,11,45.0,43.0
1709,33,70,4,11.0,49.0
1710,62,66,49,28.0,9.0
1711,70,52,71,14.0,57.0
1712,51,68,41,21.0,17.0
1713,42,70,33,21.0,59.0
1714,42,55,30,68.0,17.0
1715,46,62,60,59.0,43.0
1716,27,17,48,68.0,62.0
1717,49,22,63,51.0,27.0
1718,21,34,29,51.0,7.0
1719,40,17,19,35.0,18.0
1720,10,68,45,55.0,62.0
1721,26,67,53,55.0,2.0
1722,34,15,39,2.0,8.0
1723,71,24,63,55.0,2.0
1724,69,43,24,63.0,55.0
1725,9,70,8,55.0,22.0
1726,8,33,61,18.0,32.0
1727,60,4,55,33.0,72.0
1728,21,14,45,57.0,55.0
1729,2,47,1,11.0,28.0
1730,14,2,5,8.0,54.0
1731,33,47,55,7.0,70.0
1732,43,21,7,47.0,40.0
1733,64,57,63,55.0,20.0
1734,28,17,39,11.0,44.0
1735,17,57,42,55.0,44.0
1736,47,2,19,55.0,44.0
1737,7,38,33,69.0,59.0
1738,36,30,55,45.0,2.0
1739,2,8,34,36.0,60.0
1740,16,55,42,45.0,26.0
1741,50,56,12,55.0,44.0
1742,37,29,16,55.0,18.0
1743,21,69,8,47.0,2.0
1744,44,51,57,18.0,14.0
1745,17,55,10,44.0,27.0
1746,14,8,57,7.0,18.0
1747,13,2,36,55.0,18.0
1748,51,12,14,11.0,18.0
1749,17,56,57,2.0,62.0
1750,17,27,13,55.0,44.0
1751,21,7,12,11.0,18.0
1752,1,17,5,2.0,47.0
1753,17,25,24,35.0,59.0
1754,72,70,57,18.0,42.0
1755,40,9,55,18.0,47.0
1756,25,52,34,55.0,14.0
1757,45,66,70,48.0,46.0
1758,45,60,51,38.0,1.0
1759,3,51,45,39.0,44.0
1760,56,51,25,57.0,28.0
1761,3,68,6,71.0,55.0
1762,15,31,42,7.0,55.0
1763,9,57,24,64.0,41.0
1764,8,40,62,7.0,55.0
1765,6,38,3,9.0,53.0
1766,1,38,7,55.0,14.0
1767,42,6,51,59.0,11.0
1768,10,27,2,55.0,66.0
1769,42,62,1,41.0,2.0
1770,9,20,72,58.0,66.0
1771,31,46,33,16.0,10.0
1772,16,24,55,29.0,7.0
1773,35,61,34,40.0,6.0
1774,31,49,5,35.0,10.0
1775,66,55,27,9.0,18.0
1776,34,47,57,19.0,44.0
1777,30,9,55,39.0,18.0
1778,62,55,37,66.0,45.0
1779,1,5,55,68.0,2.0
1780,5,55,44,3.0,18.0
1781,63,61,38,55.0,18.0
1782,70,25,55,2.0,61.0
1783,28,55,24,18.0,0.0
1784,17,11,47,9.0,35.0
1785,1,66,72,55.0,44.0
1786,60,38,26,55.0,2.0
1787,47,28,11,48.0,2.0
1788,17,3,55,2.0,62.0
1789,7,62,27,42.0,21.0
1790,13,10,44,63.0,3.0
1791,6,34,45,35.0,66.0
1792,22,10,55,59.0,53.0
1793,56,41,1,59.0,13.0
1794,17,2,53,51.0,55.0
1795,42,12,32,24.0,45.0
1796,57,41,10,45.0,28.0
1797,2,51,8,14.0,72.0
1798,29,19,15,6.0,33.0
1799,73,13,9,56.0,5.0
1800,7,30,42,21.0,69.0
1801,26,33,40,57.0,43.0
1802,33,62,49,73.0,72.0
1803,20,55,61,62.0,5.0
1804,2,1,55,62.0,20.0
1805,17,14,63,55.0,66.0
1806,63,55,5,19.0,2.0
1807,3,53,4,55.0,70.0
1808,45,68,62,47.0,52.0
1809,66,57,22,42.0,53.0
1810,57,34,67,56.0,3.0
1811,10,62,25,55.0,3.0
1812,8,42,5,36.0,2.0
1813,17,38,33,13.0,5.0
1814,4,7,45,39.0,17.0
1815,62,14,13,32.0,60.0
1816,61,20,9,3.0,62.0
1817,44,2,62,10.0,26.0
1818,6,8,53,35.0,40.0
1819,1,2,32,62.0,18.0
1820,5,42,3,33.0,20.0
1821,41,61,13,17.0,5.0
1822,17,2,63,13.0,20.0
1823,4,17,49,38.0,32.0
1824,53,43,50,4.0,34.0
1825,4,58,53,66.0,45.0
1826,38,66,49,14.0,54.0
1827,40,62,58,3.0,38.0
1828,17,13,22,5.0,1.0
1829,13,6,22,32.0,33.0
1830,41,40,7,69.0,55.0
1831,30,48,13,51.0,33.0
1832,55,2,18,66.0,53.0
1833,35,42,62,5.0,29.0
1834,35,21,33,62.0,55.0
1835,35,63,69,55.0,3.0
1836,26,7,51,30.0,49.0
1837,13,26,73,2.0,61.0
1838,2,64,27,35.0,20.0
1839,68,33,35,1.0,16.0
1840,49,39,6,1.0,12.0
1841,36,11,37,53.0,38.0
1842,21,63,44,69.0,33.0
1843,69,71,30,49.0,53.0
1844,8,39,46,0.0,0.0
1845,60,8,41,2.0,40.0
1846,39,33,20,61.0,1.0
1847,56,60,47,66.0,40.0
1848,3,28,47,45.0,70.0
1849,51,11,68,42.0,30.0
1850,9,57,8,54.0,48.0
1851,57,48,55,49.0,68.0
1852,62,37,4,13.0,22.0
1853,33,29,11,68.0,30.0
1854,27,61,33,38.0,6.0
1855,55,54,35,5.0,62.0
1856,51,10,38,69.0,26.0
1857,31,16,33,18.0,30.0
1858,30,60,11,18.0,24.0
1859,52,53,66,62.0,70.0
1860,43,9,3,55.0,18.0
1861,6,4,44,34.0,57.0
1862,57,51,11,52.0,65.0
1863,66,47,40,34.0,42.0
1864,26,36,49,55.0,45.0
1865,19,24,55,20.0,2.0
1866,41,68,66,9.0,64.0
1867,3,38,56,5.0,53.0
1868,43,39,12,1.0,33.0
1869,56,63,7,8.0,28.0
1870,50,55,18,3.0,28.0
1871,57,48,60,42.0,51.0
1872,17,33,35,45.0,36.0
1873,68,38,67,55.0,45.0
1874,46,38,33,57.0,44.0
1875,40,24,69,13.0,10.0
1876,13,3,42,1.0,4.0
1877,13,51,60,61.0,2.0
1878,68,24,6,41.0,63.0
1879,13,42,3,5.0,55.0
1880,62,33,34,24.0,28.0
1881,26,68,21,18.0,8.0
1882,53,51,69,38.0,7.0
1883,33,57,21,65.0,29.0
1884,5,62,72,28.0,1.0
1885,1,15,42,6.0,34.0
1886,2,56,66,41.0,63.0
1887,2,67,8,10.0,53.0
1888,43,53,44,62.0,2.0
1889,37,72,56,20.0,50.0
1890,29,58,44,20.0,32.0
1891,18,17,11,6.0,33.0
1892,53,48,6,37.0,62.0
1893,5,13,28,64.0,42.0
1894,45,28,62,33.0,16.0
1895,12,9,3,43.0,15.0
1896,68,26,61,6.0,20.0
1897,37,60,4,21.0,31.0
1898,65,5,38,3.0,61.0
1899,2,41,5,50.0,4.0
1900,8,36,60,45.0,24.0
1901,2,38,30,60.0,37.0
1902,43,44,28,22.0,5.0
1903,46,15,21,44.0,41.0
1904,5,42,25,1.0,34.0
1905,6,3,72,55.0,44.0
1906,5,69,16,68.0,12.0
1907,6,27,31,51.0,16.0
1908,17,62,29,49.0,67.0
1909,47,57,72,37.0,5.0
1910,44,53,57,35.0,2.0
1911,39,9,53,66.0,57.0
1912,16,27,10,38.0,19.0
1913,57,37,9,66.0,5.0
1914,38,32,62,68.0,46.0
1915,4,5,33,60.0,69.0
1916,43,54,14,5.0,49.0
1917,5,27,43,63.0,59.0
1918,50,34,55,59.0,4.0
1919,8,56,57,32.0,7.0
1920,11,64,65,18.0,20.0
1921,20,66,48,53.0,19.0
1922,2,3,8,13.0,19.0
1923,57,34,3,40.0,24.0
1924,7,25,1,4.0,9.0
1925,8,17,25,33.0,0.0
1926,35,65,26,24.0,8.0
1927,44,8,40,69.0,4.0
1928,2,66,72,63.0,61.0
1929,5,69,53,18.0,0.0
1930,67,2,32,1.0,58.0
1931,17,44,4,68.0,20.0
1932,57,18,34,1.0,36.0
1933,13,47,55,51.0,44.0
1934,64,6,41,34.0,66.0
1935,11,13,33,32.0,34.0
1936,54,24,57,38.0,34.0
1937,41,2,57,69.0,17.0
1938,63,58,15,20.0,60.0
1939,13,11,45,27.0,32.0
1940,41,20,66,33.0,5.0
1941,18,13,73,22.0,66.0
1942,7,62,38,64.0,70.0
1943,41,46,16,60.0,66.0
1944,1,35,6,9.0,10.0
1945,54,57,41,48.0,69.0
1946,43,17,32,22.0,38.0
1947,24,43,62,61.0,45.0
1948,66,4,54,14.0,7.0
1949,48,49,16,62.0,72.0
1950,8,64,42,14.0,63.0
1951,45,49,67,8.0,5.0
1952,26,71,2,43.0,9.0
1953,5,1,26,63.0,36.0
1954,66,34,36,55.0,70.0
1955,45,46,3,41.0,0.0
1956,41,10,9,72.0,5.0
1957,33,17,38,41.0,65.0
1958,66,3,10,51.0,30.0
1959,66,33,36,3.0,53.0
1960,2,41,10,63.0,3.0
1961,51,69,29,5.0,60.0
1962,40,57,62,13.0,14.0
1963,57,34,62,29.0,58.0
1964,33,11,71,43.0,2.0
1965,38,32,9,57.0,61.0
1966,48,25,7,17.0,68.0
1967,8,42,25,29.0,34.0
1968,3,7,21,13.0,58.0
1969,31,8,62,18.0,14.0
1970,48,23,52,56.0,15.0
1971,15,65,31,22.0,62.0
1972,65,4,15,55.0,61.0
1973,34,71,29,70.0,68.0
1974,18,33,6,4.0,15.0
1975,45,67,27,8.0,24.0
1976,57,37,51,15.0,61.0
1977,72,24,31,38.0,45.0
1978,11,22,33,15.0,71.0
1979,8,49,65,30.0,51.0
1980,1,7,3,39.0,51.0
1981,68,19,51,65.0,17.0
1982,35,47,34,68.0,17.0
1983,51,8,45,49.0,29.0
1984,53,40,57,36.0,3.0
1985,17,65,62,8.0,53.0
1986,33,37,6,55.0,54.0
1987,37,36,66,51.0,53.0
1988,9,11,13,33.0,17.0
1989,58,69,71,62.0,7.0
1990,66,18,21,57.0,35.0
1991,32,16,57,12.0,49.0
1992,17,42,64,70.0,36.0
1993,16,40,49,6.0,19.0
1994,35,25,61,13.0,42.0
1995,53,3,15,67.0,68.0
1996,8,2,60,67.0,49.0
1997,9,18,6,67.0,31.0
1998,49,16,71,55.0,37.0
1999,62,36,6,33.0,40.0
2000,34,42,20,27.0,62.0
2001,23,52,47,18.0,69.0
2002,9,59,8,54.0,47.0
2003,68,26,46,25.0,8.0
2004,13,35,68,42.0,15.0
2005,32,2,15,70.0,46.0
2006,60,32,47,49.0,14.0
2007,4,48,66,26.0,33.0
2008,40,30,16,48.0,53.0
2009,14,59,51,6.0,73.0
2010,57,40,25,63.0,33.0
2011,38,16,42,2.0,0.0
2012,33,66,17,73.0,64.0
2013,38,2,1,7.0,13.0
2014,45,1,62,41.0,69.0
2015,2,10,62,72.0,17.0
2016,37,20,68,1.0,66.0
2017,2,8,47,17.0,46.0
2018,16,72,22,30.0,33.0
2019,33,69,59,57.0,27.0
2020,21,35,59,7.0,27.0
2021,2,16,12,62.0,17.0
2022,26,10,40,41.0,17.0
2023,18,8,34,5.0,28.0
2024,26,45,21,57.0,62.0
2025,5,66,21,26.0,9.0
2026,13,52,6,18.0,69.0
2027,24,64,17,5.0,4.0
2028,62,44,68,35.0,47.0
2029,16,7,32,71.0,1.0
2030,5,40,66,51.0,65.0
2031,11,16,33,18.0,3.0
2032,29,57,33,8.0,14.0
2033,40,49,16,3.0,32.0
2034,28,40,49,16.0,5.0
2035,33,16,10,39.0,28.0
2036,57,19,31,49.0,2.0
2037,33,52,16,5.0,22.0
2038,42,63,21,68.0,8.0
2039,42,16,6,55.0,53.0
2040,42,57,73,7.0,35.0
2041,40,16,10,27.0,33.0
2042,57,8,32,18.0,65.0
2043,26,57,68,8.0,49.0
2044,56,71,18,31.0,70.0
2045,33,45,6,54.0,47.0
2046,42,55,8,34.0,3.0
2047,42,25,60,70.0,2.0
2048,42,3,25,34.0,20.0
2049,57,12,27,68.0,47.0
2050,35,72,18,5.0,33.0
2051,21,35,29,9.0,71.0
2052,45,52,12,5.0,16.0
2053,13,62,68,7.0,20.0
2054,57,8,60,42.0,17.0
2055,41,40,6,49.0,17.0
2056,57,33,13,50.0,28.0
2057,17,30,66,33.0,34.0
2058,45,30,43,2.0,40.0
2059,42,30,40,35.0,38.0
2060,49,21,64,55.0,67.0
2061,11,33,44,18.0,39.0
2062,68,54,64,66.0,35.0
2063,27,62,72,2.0,30.0
2064,57,28,17,34.0,33.0
2065,57,15,3,53.0,7.0
2066,3,50,60,38.0,58.0
2067,60,1,38,45.0,20.0
2068,41,17,57,60.0,9.0
2069,52,59,21,49.0,70.0
2070,45,66,70,48.0,46.0
2071,30,15,16,49.0,50.0
2072,1,45,39,6.0,53.0
2073,1,20,53,50.0,24.0
2074,17,20,19,21.0,34.0
2075,9,57,24,64.0,41.0
2076,8,40,62,7.0,55.0
2077,48,15,26,14.0,63.0
2078,1,38,7,55.0,14.0
2079,42,25,10,2.0,35.0
2080,62,51,3,14.0,64.0
2081,17,25,8,66.0,61.0
2082,15,46,5,70.0,7.0
2083,55,63,1,2.0,18.0
2084,33,35,62,13.0,68.0
2085,66,15,53,70.0,45.0
2086,18,4,5,41.0,71.0
2087,70,25,55,2.0,61.0
2088,64,38,71,68.0,3.0
2089,64,45,16,49.0,66.0
2090,1,8,21,2.0,53.0
2091,17,15,16,34.0,24.0
2092,64,15,35,40.0,56.0
2093,15,16,22,64.0,24.0
2094,62,49,46,57.0,14.0
2095,63,43,62,9.0,34.0
2096,62,28,34,30.0,68.0
2097,61,46,57,30.0,28.0
2098,42,24,67,62.0,35.0
2099,26,2,11,44.0,61.0
2100,42,4,15,49.0,60.0
2101,42,43,30,57.0,44.0
2102,66,17,45,34.0,57.0
2103,42,30,62,24.0,38.0
2104,42,30,56,29.0,43.0
2105,46,57,63,29.0,53.0
2106,70,53,45,21.0,37.0
2107,44,70,5,36.0,67.0
2108,24,52,70,21.0,58.0
2109,33,2,8,66.0,68.0
2110,47,7,1,70.0,33.0
2111,18,6,70,44.0,9.0
2112,64,38,32,33.0,10.0
2113,27,45,5,35.0,38.0
2114,27,58,70,31.0,62.0
2115,68,10,5,72.0,4.0
2116,71,54,2,24.0,66.0
2117,5,26,42,49.0,70.0
2118,36,55,17,42.0,62.0
2119,28,70,62,61.0,31.0
2120,42,9,63,57.0,34.0
2121,11,44,17,19.0,49.0
2122,56,32,40,41.0,49.0
2123,62,50,13,15.0,18.0
2124,21,33,1,35.0,45.0
2125,22,36,13,54.0,21.0
2126,22,11,33,47.0,44.0
2127,54,42,13,44.0,0.0
2128,54,7,20,60.0,5.0
2129,43,2,34,57.0,12.0
2130,3,18,41,39.0,22.0
2131,27,10,21,41.0,37.0
2132,17,63,45,8.0,53.0
2133,63,43,41,35.0,68.0
2134,28,26,33,32.0,6.0
2135,21,69,40,67.0,47.0
2136,66,39,40,30.0,60.0
2137,49,40,8,6.0,69.0
2138,63,38,14,49.0,21.0
2139,45,33,67,3.0,21.0
2140,36,55,51,2.0,37.0
2141,42,17,6,45.0,13.0
2142,57,16,26,50.0,34.0
2143,32,5,12,58.0,18.0
2144,37,28,29,66.0,8.0
2145,9,6,19,52.0,57.0
2146,7,67,29,49.0,57.0
2147,44,33,51,62.0,21.0
2148,8,18,62,33.0,47.0
2149,40,66,17,51.0,33.0
2150,62,25,31,49.0,8.0
2151,17,66,32,62.0,55.0
2152,5,45,36,66.0,33.0
2153,38,57,25,53.0,34.0
2154,33,64,50,8.0,13.0
2155,22,62,68,70.0,69.0
2156,5,13,69,2.0,38.0
2157,45,41,1,2.0,38.0
2158,34,62,50,47.0,42.0
2159,8,57,22,47.0,26.0
2160,6,38,53,44.0,1.0
2161,40,38,30,39.0,2.0
2162,72,12,6,51.0,37.0
2163,21,8,59,33.0,17.0
2164,56,18,46,4.0,16.0
2165,45,17,8,47.0,11.0
2166,37,1,38,57.0,67.0
2167,17,40,16,66.0,56.0
2168,32,71,6,14.0,66.0
2169,32,57,40,12.0,0.0
2170,66,17,13,67.0,34.0
2171,57,72,63,41.0,61.0
2172,40,24,52,16.0,67.0
2173,13,48,33,70.0,1.0
2174,49,70,40,55.0,67.0
2175,29,16,22,41.0,2.0
2176,34,12,8,48.0,63.0
2177,48,8,17,12.0,51.0
2178,33,62,70,44.0,71.0
2179,17,40,59,55.0,49.0
2180,49,62,47,21.0,19.0
2181,13,54,53,68.0,8.0
2182,61,21,8,53.0,17.0
2183,53,66,62,73.0,17.0
2184,10,42,5,16.0,60.0
2185,17,21,49,6.0,68.0
2186,66,68,70,27.0,51.0
2187,8,40,7,6.0,66.0
2188,58,59,40,21.0,38.0
2189,69,5,18,43.0,49.0
2190,59,49,69,63.0,64.0
2191,43,7,65,22.0,66.0
2192,8,66,17,36.0,68.0
2193,8,51,58,40.0,1.0
2194,21,60,53,20.0,2.0
2195,40,68,57,43.0,3.0
2196,2,55,13,18.0,12.0
2197,69,43,33,34.0,62.0
2198,72,8,33,51.0,39.0
2199,9,63,66,61.0,57.0
2200,46,15,13,26.0,21.0
2201,21,39,49,13.0,59.0
2202,57,11,44,39.0,71.0
2203,45,38,14,67.0,69.0
2204,37,45,5,12.0,16.0
2205,34,5,28,62.0,66.0
2206,39,45,26,37.0,70.0
2207,57,66,69,65.0,72.0
2208,42,63,8,18.0,55.0
2209,57,66,61,64.0,2.0
2210,57,41,26,14.0,60.0
2211,15,3,33,11.0,68.0
2212,26,4,1,69.0,66.0
2213,44,71,6,38.0,68.0
2214,58,52,62,10.0,0.0
2215,17,34,69,66.0,35.0
2216,9,48,57,12.0,28.0
2217,29,35,62,2.0,60.0
2218,46,12,18,32.0,38.0
2219,66,33,8,68.0,64.0
2220,41,27,2,70.0,28.0
2221,23,62,24,64.0,66.0
2222,8,57,64,65.0,12.0
2223,25,15,33,18.0,38.0
2224,39,32,35,68.0,42.0
2225,16,30,40,64.0,33.0
2226,61,30,7,21.0,62.0
2227,72,7,66,57.0,59.0
2228,69,20,30,62.0,68.0
2229,13,37,49,28.0,23.0
2230,50,18,66,46.0,33.0
2231,64,33,55,6.0,60.0
2232,42,30,53,5.0,51.0
2233,42,54,25,49.0,5.0
2234,52,21,42,57.0,3.0
2235,57,63,13,45.0,44.0
2236,60,43,49,18.0,50.0
2237,60,10,40,62.0,5.0
2238,54,61,51,33.0,0.0
2239,46,16,10,56.0,27.0
2240,7,19,58,11.0,35.0
2241,46,13,26,38.0,51.0
2242,68,24,6,41.0,63.0
2243,35,63,6,42.0,18.0
2244,62,40,52,7.0,16.0
2245,51,17,45,57.0,22.0
2246,52,16,9,53.0,62.0
2247,5,62,72,28.0,1.0
2248,1,15,42,6.0,34.0
2249,38,40,62,31.0,9.0
2250,2,67,8,10.0,53.0
2251,17,62,38,53.0,68.0
2252,25,45,8,33.0,31.0
2253,62,70,39,68.0,69.0
2254,3,64,63,14.0,12.0
2255,27,38,5,33.0,68.0
2256,14,24,16,52.0,63.0
2257,47,33,22,7.0,38.0
2258,33,51,47,2.0,63.0
2259,46,15,21,44.0,41.0
2260,7,13,1,51.0,36.0
2261,34,38,24,17.0,50.0
2262,61,24,16,9.0,13.0
2263,38,60,68,70.0,22.0
2264,62,70,3,18.0,24.0
2265,62,57,2,17.0,36.0
2266,52,22,38,36.0,1.0
2267,55,28,8,22.0,33.0
2268,50,70,40,21.0,49.0
2269,7,72,32,5.0,70.0
2270,46,57,52,7.0,8.0
2271,42,31,70,63.0,0.0
2272,45,33,25,41.0,16.0
2273,2,58,16,60.0,51.0
2274,39,14,4,40.0,24.0
2275,66,9,54,53.0,4.0
2276,70,45,63,60.0,2.0
2277,66,30,25,17.0,49.0
2278,46,41,73,49.0,52.0
2279,60,42,43,14.0,62.0
2280,44,6,17,3.0,35.0
2281,47,71,60,3.0,53.0
2282,27,8,62,18.0,53.0
2283,47,45,68,52.0,66.0
2284,36,22,62,53.0,60.0
2285,61,9,62,42.0,32.0
2286,10,7,63,66.0,15.0
2287,47,62,18,38.0,28.0
2288,15,40,61,5.0,51.0
2289,8,40,58,17.0,47.0
2290,4,32,28,34.0,69.0
2291,53,38,29,21.0,33.0
2292,28,33,25,70.0,3.0
2293,63,65,8,45.0,72.0
2294,60,10,9,50.0,15.0
2295,7,3,66,54.0,70.0
2296,54,34,24,47.0,2.0
2297,33,57,44,1.0,51.0
2298,57,41,46,65.0,12.0
2299,18,4,5,22.0,12.0
2300,38,24,26,63.0,34.0
2301,8,61,1,71.0,33.0
2302,55,40,62,63.0,9.0
2303,66,3,33,39.0,49.0
2304,33,32,7,27.0,70.0
2305,65,32,1,34.0,16.0
2306,9,66,35,69.0,57.0
2307,3,33,9,63.0,47.0
2308,55,22,71,4.0,34.0
2309,44,34,19,29.0,4.0
2310,16,72,17,15.0,49.0
2311,2,40,22,62.0,67.0
2312,14,59,51,6.0,73.0
2313,9,52,34,57.0,39.0
2314,42,2,13,14.0,32.0
2315,13,42,57,44.0,22.0
2316,59,69,66,2.0,21.0
2317,21,5,22,73.0,53.0
2318,18,33,55,73.0,3.0
2319,8,18,33,44.0,51.0
2320,57,40,27,5.0,49.0
2321,9,17,66,22.0,57.0
2322,8,22,53,62.0,29.0
2323,60,62,2,1.0,19.0
2324,26,2,44,43.0,21.0
2325,16,37,59,66.0,33.0
2326,17,6,57,18.0,53.0
2327,8,34,65,69.0,19.0
2328,8,49,62,17.0,36.0
2329,73,2,5,46.0,69.0
2330,34,8,27,32.0,3.0
2331,17,66,42,6.0,33.0
2332,16,36,43,22.0,33.0
2333,48,9,28,41.0,5.0
2334,60,4,55,33.0,72.0
2335,47,66,2,26.0,28.0
2336,43,24,63,3.0,18.0
2337,41,33,4,48.0,26.0
2338,10,38,54,7.0,46.0
2339,19,34,54,33.0,35.0
2340,61,19,57,68.0,12.0
2341,53,5,22,33.0,16.0
2342,36,38,72,7.0,13.0
2343,37,70,32,1.0,33.0
2344,73,53,21,17.0,22.0
2345,35,52,17,67.0,33.0
2346,13,2,70,17.0,12.0
2347,14,60,47,5.0,4.0
2348,51,27,65,61.0,4.0
2349,59,62,53,60.0,41.0
2350,40,71,12,54.0,66.0
2351,45,21,14,8.0,9.0
2352,64,47,16,45.0,41.0
2353,18,43,11,2.0,7.0
2354,8,9,55,59.0,47.0
2355,8,42,13,49.0,17.0
2356,40,38,36,68.0,24.0
2357,13,9,72,32.0,60.0
2358,52,55,31,66.0,2.0
2359,52,51,53,12.0,16.0
2360,14,34,70,72.0,48.0
2361,65,34,62,26.0,21.0
2362,14,62,47,44.0,16.0
2363,60,68,51,70.0,1.0
2364,2,8,68,13.0,31.0
2365,72,71,53,13.0,35.0
2366,33,46,62,4.0,18.0
2367,57,28,36,62.0,17.0
2368,4,12,13,37.0,18.0
2369,57,8,72,24.0,18.0
2370,29,63,33,22.0,9.0
2371,7,49,48,3.0,62.0
2372,29,8,33,66.0,17.0
2373,70,68,2,1.0,63.0
2374,28,50,33,70.0,48.0
2375,39,5,68,17.0,60.0
2376,62,3,17,21.0,40.0
2377,65,43,52,2.0,21.0
2378,8,60,31,63.0,40.0
2379,42,3,33,38.0,21.0
2380,12,33,6,17.0,5.0
2381,3,64,1,35.0,71.0
2382,70,2,21,9.0,48.0
2383,34,35,53,36.0,29.0
2384,42,62,1,59.0,53.0
2385,44,25,2,3.0,38.0
2386,52,33,67,38.0,26.0
2387,61,22,9,66.0,43.0
2388,45,21,66,33.0,71.0
2389,7,6,63,44.0,54.0
2390,42,56,43,31.0,21.0
2391,53,3,9,51.0,43.0
2392,13,4,60,42.0,2.0
2393,18,68,42,21.0,23.0
2394,7,8,59,49.0,37.0
2395,9,57,71,37.0,61.0
2396,1,25,8,45.0,9.0
2397,62,65,9,33.0,21.0
2398,5,56,20,27.0,54.0
2399,70,52,25,17.0,49.0
2400,47,37,27,4.0,28.0
2401,1,66,33,37.0,21.0
2402,59,49,69,55.0,45.0
2403,33,45,13,9.0,32.0
2404,39,33,27,21.0,60.0
2405,48,13,51,2.0,5.0
2406,70,3,13,2.0,69.0
2407,72,58,28,32.0,13.0
2408,16,14,12,68.0,25.0
2409,27,4,63,42.0,37.0
2410,60,27,68,8.0,62.0
2411,60,67,66,34.0,27.0
2412,29,21,13,58.0,7.0
2413,2,38,32,67.0,21.0
2414,10,17,66,45.0,44.0
2415,16,69,63,33.0,54.0
2416,57,38,21,1.0,68.0
2417,22,62,33,46.0,21.0
2418,33,53,57,25.0,8.0
2419,13,54,53,68.0,8.0
2420,51,48,20,32.0,66.0
2421,60,57,12,49.0,63.0
2422,52,18,38,40.0,36.0
2423,52,63,68,40.0,38.0
2424,38,72,60,33.0,35.0
2425,51,2,45,62.0,22.0
2426,66,22,53,73.0,58.0
2427,68,12,13,54.0,8.0
2428,33,62,47,69.0,70.0
2429,57,59,46,33.0,19.0
2430,45,68,47,69.0,35.0
2431,5,17,72,53.0,73.0
2432,62,22,2,8.0,53.0
2433,8,69,24,5.0,42.0
2434,57,49,36,46.0,38.0
2435,41,13,68,44.0,54.0
2436,11,17,68,14.0,63.0
2437,48,60,30,33.0,40.0
2438,7,50,9,36.0,13.0
2439,40,66,69,58.0,6.0
2440,64,12,18,47.0,38.0
2441,3,28,47,45.0,70.0
2442,36,33,17,22.0,8.0
2443,29,49,62,68.0,57.0
2444,34,43,3,6.0,5.0
2445,51,37,62,1.0,33.0
2446,53,37,30,8.0,1.0
2447,18,49,17,55.0,35.0
2448,3,18,66,19.0,9.0
2449,4,17,27,14.0,21.0
2450,54,16,62,22.0,34.0
2451,51,42,28,16.0,5.0
2452,51,7,2,58.0,59.0
2453,51,8,7,62.0,28.0
2454,70,9,51,17.0,12.0
2455,30,28,35,69.0,5.0
2456,51,66,5,1.0,63.0
2457,17,62,45,2.0,57.0
2458,70,34,62,60.0,51.0
2459,39,8,12,68.0,22.0
2460,62,26,33,20.0,12.0
2461,71,12,5,17.0,73.0
2462,30,33,48,5.0,28.0
2463,43,13,31,33.0,0.0
2464,36,7,49,43.0,3.0
2465,42,16,24,54.0,59.0
2466,14,57,8,1.0,2.0
2467,52,51,44,18.0,8.0
2468,8,68,41,49.0,69.0
2469,2,51,8,29.0,69.0
2470,5,36,18,25.0,58.0
2471,62,33,72,28.0,63.0
2472,27,47,8,44.0,49.0
2473,14,28,36,8.0,11.0
2474,52,33,21,8.0,68.0
2475,2,48,59,6.0,51.0
2476,6,51,48,28.0,12.0
2477,14,17,6,19.0,12.0
2478,8,65,13,33.0,69.0
2479,31,68,38,37.0,13.0
2480,14,8,52,41.0,33.0
2481,49,4,68,57.0,3.0
2482,38,40,12,37.0,62.0
2483,28,57,68,38.0,33.0
2484,17,4,28,13.0,3.0
2485,17,38,62,1.0,3.0
2486,53,18,69,62.0,63.0
2487,1,10,42,11.0,58.0
2488,57,45,33,9.0,8.0
2489,32,44,62,18.0,34.0
2490,13,60,8,21.0,68.0
2491,47,26,33,49.0,70.0
2492,57,11,24,60.0,53.0
2493,51,35,7,56.0,36.0
2494,33,39,60,7.0,32.0
2495,57,39,2,22.0,62.0
2496,48,53,1,18.0,66.0
2497,36,64,27,72.0,38.0
2498,61,62,27,49.0,70.0
2499,43,53,55,11.0,12.0
2500,13,48,33,6.0,12.0
2501,33,45,57,13.0,9.0
2502,33,45,62,8.0,12.0
2503,19,11,70,12.0,49.0
2504,16,63,49,28.0,31.0
2505,28,8,62,37.0,49.0
2506,9,44,33,13.0,28.0
2507,9,45,63,49.0,67.0
2508,62,49,12,68.0,70.0
2509,36,18,25,27.0,58.0
2510,4,62,71,27.0,61.0
2511,8,62,42,63.0,37.0
2512,8,66,24,17.0,42.0
2513,60,33,35,66.0,34.0
2514,38,70,44,9.0,60.0
2515,62,22,26,57.0,69.0
2516,1,45,43,62.0,68.0
2517,42,2,63,57.0,21.0
2518,43,41,37,22.0,31.0
2519,38,25,3,53.0,9.0
2520,33,56,55,32.0,36.0
2521,33,9,8,55.0,36.0
