,c1,c2,c3,c4,c5
291,47,5,45,69.0,32.0
292,60,49,11,45.0,39.0
293,57,39,17,27.0,49.0
294,9,65,57,25.0,18.0
295,69,51,38,45.0,42.0
296,51,61,2,17.0,70.0
297,8,17,42,62.0,64.0
298,41,4,28,57.0,14.0
299,7,47,44,9.0,57.0
300,72,24,14,62.0,0.0
301,60,8,6,61.0,33.0
302,57,67,45,22.0,69.0
303,60,17,1,36.0,11.0
304,2,63,31,8.0,45.0
305,25,14,6,56.0,34.0
306,46,49,72,5.0,19.0
307,39,49,31,64.0,8.0
308,1,45,51,55.0,68.0
309,34,5,68,6.0,73.0
310,13,21,17,53.0,72.0
311,43,66,1,68.0,49.0
312,60,66,7,56.0,8.0
313,46,50,10,68.0,12.0
314,62,7,69,8.0,53.0
315,62,36,18,8.0,53.0
316,43,26,68,13.0,12.0
317,68,46,17,55.0,20.0
318,17,18,5,35.0,53.0
319,25,33,13,58.0,21.0
320,12,30,5,2.0,11.0
321,33,20,45,5.0,3.0
322,68,23,13,14.0,69.0
323,1,67,66,53.0,44.0
324,68,69,40,10.0,20.0
325,68,62,34,18.0,38.0
326,2,17,3,13.0,57.0
327,15,37,1,16.0,11.0
328,24,10,71,54.0,21.0
329,15,26,8,25.0,0.0
330,33,32,1,64.0,43.0
331,16,34,2,6.0,52.0
332,53,24,16,19.0,25.0
333,70,62,53,49.0,54.0
334,3,37,43,34.0,66.0
335,1,7,30,59.0,57.0
336,8,68,18,60.0,19.0
337,38,2,22,28.0,57.0
338,30,60,11,18.0,24.0
339,50,38,22,63.0,65.0
340,7,59,62,18.0,33.0
341,16,45,31,32.0,2.0
342,26,45,36,47.0,8.0
343,38,5,47,51.0,49.0
344,57,49,41,53.0,27.0
345,57,33,60,62.0,18.0
346,71,69,13,53.0,21.0
347,41,38,10,49.0,69.0
348,42,43,26,62.0,33.0
349,60,33,57,8.0,2.0
350,62,68,7,4.0,52.0
351,69,34,13,31.0,65.0
352,50,55,18,3.0,28.0
353,2,62,20,14.0,61.0
354,38,71,50,68.0,65.0
355,33,66,14,3.0,51.0
356,63,12,8,56.0,33.0
357,42,54,40,43.0,66.0
358,68,29,15,57.0,64.0
359,5,24,49,43.0,38.0
360,26,67,48,72.0,68.0
361,13,51,60,61.0,2.0
362,70,69,29,53.0,8.0
363,73,31,62,53.0,24.0
364,32,28,18,33.0,5.0
365,8,45,57,3.0,37.0
366,53,42,34,35.0,13.0
367,25,34,38,13.0,14.0
368,16,1,14,53.0,62.0
369,8,3,32,53.0,45.0
370,6,49,29,4.0,42.0
371,41,52,53,48.0,64.0
372,39,49,72,44.0,38.0
373,47,56,16,17.0,66.0
374,67,61,33,52.0,8.0
375,14,24,16,52.0,63.0
376,47,33,22,7.0,38.0
377,41,4,69,33.0,53.0
378,44,5,49,6.0,62.0
379,3,53,38,66.0,2.0
380,66,8,22,9.0,53.0
381,73,33,27,57.0,53.0
382,73,33,26,62.0,24.0
383,33,8,60,62.0,45.0
384,1,42,57,6.0,54.0
385,42,8,5,72.0,69.0
386,41,46,5,17.0,2.0
387,20,38,69,53.0,66.0
388,5,32,54,34.0,53.0
389,7,62,1,4.0,60.0
